id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
118	state gr.. power supp (sgcc-c)	<table><tr><td>STATE GRID LIAONING ELECTRIC POWER SUPP (SGCC-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3064	0.6571	4	1	1	1	1
119	guangzho..pply bureau (cspg-c)	<table><tr><td>GUANGZHOU POWER SUPPLY BUREAU (CSPG-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.9553	-0.0242	4	1	1	1	1
120	goertek inc (qdgr-c)	<table><tr><td>GOERTEK INC (QDGR-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4396	0.4628	4	1	1	1	1
121	weedahm .. (weed-non-standard)	<table><tr><td>WEEDAHM BIO CO LTD (WEED-Non-standard)</td></tr><tr><td>Peso: 4</td></tr></table>	-0.5796	-0.8553	11	4	4	4	1
122	univ nan..t & telecom (unpt-c)	<table><tr><td>UNIV NANJING POST & TELECOM (UNPT-C)</td></tr><tr><td>Peso: 33</td></tr></table>	0.0272	-0.4098	4	37	37	37	1
123	hand held prod inc (hone-c)	<table><tr><td>HAND HELD PROD INC (HONE-C)</td></tr><tr><td>Peso: 3</td></tr></table>	0.3289	-0.7899	16	3	3	3	1
124	univ zhe..ity college (uzcc-c)	<table><tr><td>UNIV ZHEJIANG CITY COLLEGE (UZCC-C)</td></tr><tr><td>Peso: 3</td></tr></table>	0.8911	0.3374	4	3	3	3	1
125	kunshan .. (kuns-non-standard)	<table><tr><td>KUNSHAN GUANGXIANGCHANG INTELLIGENT INFO (KUNS-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.7811	0.0868	4	1	1	1	1
126	superb a.. (supe-non-standard)	<table><tr><td>SUPERB AI CO LTD (SUPE-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.0675	0.9344	16	2	2	2	1
127	beijing ..ation techn (djin-c)	<table><tr><td>BEIJING DAJIA INTERNET INFORMATION TECHN (DJIN-C)</td></tr><tr><td>Peso: 15</td></tr></table>	0.0261	-0.7687	4	17	17	17	1
128	shenzhen..guangdong p (cspg-c)	<table><tr><td>SHENZHEN POWER SUPPLY BUREAU GUANGDONG P (CSPG-C)</td></tr><tr><td>Peso: 5</td></tr></table>	0.241	-0.2534	4	5	5	5	1
129	shenzhen..pply co ltd (cspg-c)	<table><tr><td>SHENZHEN POWER SUPPLY CO LTD (CSPG-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.4475	0.9162	4	2	2	2	1
130	hangzhou..chnology co (cetc-c)	<table><tr><td>HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO (CETC-C)</td></tr><tr><td>Peso: 4</td></tr></table>	-0.9889	0.5074	4	4	4	4	1
131	xiamen m.. sci & tech (xmmb-c)	<table><tr><td>XIAMEN MEIYA BOKE INFORMATION SCI & TECH (XMMB-C)</td></tr><tr><td>Peso: 6</td></tr></table>	0.2318	-0.3042	4	7	7	7	1
132	siemens ag (siei-c)	<table><tr><td>SIEMENS AG (SIEI-C)</td></tr><tr><td>Peso: 14</td></tr></table>	-0.1955	0.1638	6	28	28	28	1
